subject,question,answer_a,answer_b,answer_c,answer_d,answer,hint
Agency,"""A"" has given ""B"" the impression that ""X"" is ""A""'s agent even though ""X"" was never given the authority to represent ""A"". From ""B""'s standpoint, the agency is:",power-of-attorney.,constructive agency.,ostensible.,rectified agency.,c,"Correct answer is (c). A good example of this would be watching a friend's store for him while he goes to lunch. Making a sale to a customer that comes in believing you to be the owner, you are ""ostensibly"" the owner's agent."
Agency,A broker acting as agent for a principal has as much authority as:,other parties believe the agent to possess.,the agent chooses to accept.,the principal actually or ostensibly confers upon him.,he chooses to accept as limited by the Statute of Limitations.,c,Correct answer is (c). An agent has as much authority as his principal actually or ostensibly confers upon him.
Agency,A broker who is employed by the seller is liable to the buyer if:,he acts under a power of attorney for seller.,he acts in excess of the terms of his contract.,the offer is accepted but the contract is not performed.,the listing agreement has no termination date.,b,"Correct answer is (b). A broker's contract ordinarily makes him the agent of the seller. If he performs an act which his contract does not authorize him to do, he is the agent of the other party, the buyer."
Agency,A fiduciary relationship may be terminated by:,all of the following,revocation.,death.,agreement.,a,"Correct answer is (a). Answers (b), (c), and (d) all terminate a fiduciary relationship."
Agency,A fiduciary relationship may be terminated by:,agreement.,revocation.,death.,all of the above.,d,"Correct answer is (d). Answers (a), (b), and (c) all terminate a fiduciary relationship."
Agency,"A licensee who misrepresents property to the buyer while acting as an agent of the seller, is subject to:",discipline.,civil lawsuits.,criminal penalties.,all of the above,d,"Correct answer is (d). Licensees who make misrepresentations are subject to discipline, civil lawsuits, and/or criminal penalties."
Agency,"A person designated in a written power-of-attorney, to legally act for another in his stead is typically called a(n):",fiduciary.,principal.,attorney-in-fact.,agent.,c,Correct answer is (c). Any person may give another the authority to act on his or her behalf. The legal document that does this is called a power of attorney. The person holding the power of attorney is an attorney-in-fact.
Agency,Acting for more than one party in a transaction:,is illegal.,is unethical.,is within the law.,makes the transaction void.,c,Correct answer is (c). Failure to disclose dual agency is a violation of real estate law.
Agency,"Agency is referred to as the relationship between the agent and his principal. All of the following statements are correct about agency, except:",agency may be an expressed contract.,the principal must pay money to the agent to create an agency relationship.,agency may be an implied contract.,an agreement that may be in writing or verbal.,b,"Correct answer is (b). Answers (a), (c), and (d) are correct statements applicable to an agency relationship. Answer (b) is false. An agency relationship does not require the payment of money."
Agency,"All of the following statements concerning agency relationships are correct, except:",most broker-seller relationships are expressed agencies.,the seller of a home is responsible for the misrepresentations of his real estate broker as long as the broker is acting within the scope of his authorized duties.,the real estate broker is not responsible for losses suffered by a buyer who acted upon misrepresentations of the seller passed on to him by the broker as long as the broker was unaware of the seller's misrepresentations.,"net listings are encouraged in California, because they avoid conflicts of interest in the agency relationship.",d,Correct answer is (d). All the other answers are correct statements.
